section,metric,value
scenario,requests,351
scenario,attempts,5516
scenario,stereo_pairs,600
scenario,avg_angle,20.837170
scenario,avg_area,474.963787
scenario,avg_price,988.296773
scenario,avg_sun_elevation,56.195762
scenario,avg_cloud_cover,7.604217
scenario,avg_priority,2.473532
scenario_raw,requests,351
scenario_raw,attempts,6212
scenario_raw,avg_angle,20.607803
scenario_raw,avg_area,482.317561
scenario_raw,avg_price,994.473599
scenario_raw,avg_sun_elevation,56.476896
scenario_raw,avg_cloud_cover,7.461854
scenario_raw,avg_priority,2.523503
solution,acquisitions,441
solution,unique_requests_served,338
solution,total_score,241.7710882163551389
solution,ofv,-241.7710882163560484
solution,total_profit,430540.000000
solution,total_area,244044.183932
solution,avg_cloud_cover,7.734618
solution,cloud_good_lt10,292
solution,cloud_bad_gt30,0
solution,avg_angle,21.874426
solution,angle_good_le10,33
solution,angle_bad_ge30,20
solution,avg_priority,2.505669
solution,priority_1,107
solution,priority_2,112
solution,priority_3,114
solution,priority_4,108
solution,avg_sun_elevation,56.248712
rko,best_mh,IPR
rko,time_to_best,544.312
rko,solver_time,608.303
rko,total_time,608.316
rko,pool_diversity,10
rko,pool_size,10
rko,stereo_pairs_complete,28
rko,stereo_acq_selected,58
rko,strip_acq_selected,150
