section,metric,value
scenario,requests,284
scenario,attempts,2755
scenario,stereo_pairs,175
scenario,avg_angle,20.596781
scenario,avg_area,477.032856
scenario,avg_price,981.212704
scenario,avg_sun_elevation,57.511053
scenario,avg_cloud_cover,7.748105
scenario,avg_priority,2.496552
scenario_raw,requests,284
scenario_raw,attempts,2858
scenario_raw,avg_angle,20.340888
scenario_raw,avg_area,479.456705
scenario_raw,avg_price,983.273618
scenario_raw,avg_sun_elevation,57.558325
scenario_raw,avg_cloud_cover,7.803076
scenario_raw,avg_priority,2.511547
solution,acquisitions,314
solution,unique_requests_served,246
solution,total_score,179.9825052484258663
solution,ofv,-179.9825052484260652
solution,total_profit,304108.000000
solution,total_area,170647.640194
solution,avg_cloud_cover,8.247478
solution,cloud_good_lt10,205
solution,cloud_bad_gt30,0
solution,avg_angle,21.692598
solution,angle_good_le10,25
solution,angle_bad_ge30,12
solution,avg_priority,2.525478
solution,priority_1,74
solution,priority_2,78
solution,priority_3,85
solution,priority_4,77
solution,avg_sun_elevation,56.265748
rko,best_mh,IPR
rko,time_to_best,286.113
rko,solver_time,300.934
rko,total_time,300.940
rko,pool_diversity,10
rko,pool_size,10
rko,stereo_pairs_complete,18
rko,stereo_acq_selected,36
rko,strip_acq_selected,101
