section,metric,value
scenario,requests,361
scenario,attempts,5546
scenario,stereo_pairs,1040
scenario,avg_angle,21.415514
scenario,avg_area,485.862823
scenario,avg_price,986.435629
scenario,avg_sun_elevation,61.179499
scenario,avg_cloud_cover,25.842010
scenario,avg_priority,2.497836
scenario_raw,requests,361
scenario_raw,attempts,7052
scenario_raw,avg_angle,20.821442
scenario_raw,avg_area,487.756205
scenario_raw,avg_price,971.084090
scenario_raw,avg_sun_elevation,61.443177
scenario_raw,avg_cloud_cover,25.970729
scenario_raw,avg_priority,2.512621
solution,acquisitions,390
solution,unique_requests_served,291
solution,total_score,201.8037436188314757
solution,ofv,-201.8037436188324989
solution,total_profit,386217.000000
solution,total_area,213003.948558
solution,avg_cloud_cover,25.952799
solution,cloud_good_lt10,2
solution,cloud_bad_gt30,96
solution,avg_angle,22.545301
solution,angle_good_le10,26
solution,angle_bad_ge30,26
solution,avg_priority,2.546154
solution,priority_1,99
solution,priority_2,94
solution,priority_3,82
solution,priority_4,115
solution,avg_sun_elevation,61.429529
rko,best_mh,GA
rko,time_to_best,544.151
rko,solver_time,607.038
rko,total_time,607.051
rko,pool_diversity,10
rko,pool_size,10
rko,stereo_pairs_complete,28
rko,stereo_acq_selected,60
rko,strip_acq_selected,141
